Sentence,question,correct_answer,false_answer,model_question,num_of_masks
The plumber that called John drove a grey truck.,Who drove a grey truck?,the,John,"The plumber that called John drove a grey truck. Therefore, The grey truck drove by ",2
The salesman that the accountant contacted spoke very quickly.,Who spoke very quickly?,salesman,accountant,"The salesman that the accountant contacted spoke very quickly. Therefore, the person who spoke very quickly was the ",1
The salesman that you contacted spoke very quickly.,Who spoke very quickly?,the,You,"The salesman that you contacted spoke very quickly. Therefore, the person who spoke very quickly was ",2
The salesman that Ross contacted spoke very quickly.,Who spoke very quickly?,the,Ross,"The salesman that Ross contacted spoke very quickly. Therefore, the person who spoke very quickly was ",2
The salesman that contacted the accountant spoke very quickly.,Who spoke very quickly?,salesman,accountant,"The salesman that contacted the accountant spoke very quickly. Therefore, the person who spoke very quickly was the ",1
The salesman that contacted you spoke very quickly.,Who spoke very quickly?,the,You,"The salesman that contacted you spoke very quickly. Therefore, the person who spoke very quickly was ",2
The salesman that contacted Ross spoke very quickly.,Who spoke very quickly?,the,Ross,"The salesman that contacted Ross spoke very quickly. Therefore, the person who spoke very quickly was ",2
The clown that the magician entertained was a star.,Who was a star?,clown,megician,"The clown that the magician entertained was a star. Therefore, the person who was a star is the ",1
The clown that you entertained was a star.,Who was a star?,the,You,"The clown that you entertained was a star. Therefore, the person who was a star is ",2
The clown that Carly entertained was a star.,Who was a star?,the,Carly,"The clown that Carly entertained was a star. Therefore, the person who was a star is ",2
The clown that entertained the magician was a star.,Who was a star?,clown,megician,"The clown that entertained the magician was a star. Therefore, the person who was a star is the ",1
The clown that entertained you was a star.,Who was a star?,the,You,"The clown that entertained you was a star. Therefore, the person who was a star is ",2
The clown that entertained Carly was a star.,Who was a star?,the,Carly,"The clown that entertained Carly was a star. Therefore, the person who was a star is ",2
The clerk that the traveler helped worked in a large foreign bank.,Who worked in a large foreign bank?,clerk,traveler,"The clerk that the traveler helped worked in a large foreign bank. Therefore, the person who worked in a large foreign bank is the ",1
The clerk that you helped worked in a large foreign bank.,Who worked in a large foreign bank?,the,You,"The clerk that you helped worked in a large foreign bank. Therefore, the person who worked in a large foreign bank is ",2
The clerk that Ethan helped worked in a large foreign bank.,Who worked in a large foreign bank?,the,Ethan,"The clerk that Ethan helped worked in a large foreign bank. Therefore, the person who worked in a large foreign bank is ",2
The clerk that helped the traveler worked in a large foreign bank.,Who worked in a large foreign bank?,clerk,traveler,"The clerk that helped the traveler worked in a large foreign bank. Therefore, the person who worked in a large foreign bank is the ",1
The clerk that helped you worked in a large foreign bank.,Who worked in a large foreign bank?,the,You,"The clerk that helped you worked in a large foreign bank. Therefore, the person who worked in a large foreign bank is ",2
The clerk that helped Ethan worked in a large foreign bank.,Who worked in a large foreign bank?,the,Ethan,"The clerk that helped Ethan worked in a large foreign bank. Therefore, the person who worked in a large foreign bank is ",2
The gardener that the homeowner envied was very friendly.,Who was very friendly?,gardener,homeowner,"The gardener that the homeowner envied was very friendly. Therefore, the person who was very friendly is the ",1
The gardener that you envied was very friendly.,Who was very friendly?,the,you,"The gardener that you envied was very friendly. Therefore, the person who was very friendly is ",2
The gardener that Liz envied was very friendly.,Who was very friendly?,the,Liz,"The gardener that Liz envied was very friendly. Therefore, the person who was very friendly is ",2
The gardener that envied the homeowner was very friendly.,Who was very friendly?,gardener,homeowner,"The gardener that envied the homeowner was very friendly. Therefore, the person who was very friendly is the ",1
The gardener that envied you was very friendly.,Who was very friendly?,the,you,"The gardener that envied you was very friendly. Therefore, the person who was very friendly is ",2
The gardener that envied Liz was very friendly.,Who was very friendly?,the,Liz,"The gardener that envied Liz was very friendly. Therefore, the person who was very friendly is ",2
The actress who was in the French director's studio this week hit the expensive vase at the entrance.,Who hit the expensive vase?,actress,director,"The actress who was in the French director's studio this week hit the expensive vase at the entrance. Therefore, the expensvie vase was hit by the ",1
The camera that was in the French director's studio this week hit the expensive vase at the entrance.,What hit the expensive vase?,camera,director,"The camera that was in the French director's studio this week hit the expensive vase at the entrance. Therefore, the expensvie vase was hit by the ",1
This is the actress who this week in the French director's studio hit the expensive vase at the entrance.,Who hit the expensive vase?,actress,director,"This is the actress who this week in the French director's studio hit the expensive vase at the entrance. Therefore, the expensvie vase was hit by the ",1
This is the camera that this week in the French director's studio hit the expensive vase at the entrance.,What hit the expensive vase?,camera,director,"This is the camera that this week in the French director's studio hit the expensive vase at the entrance. Therefore, the expensvie vase was hit by the ",1
The student who was yesterday in the class of the lazy practitioner bored the members of the course.,Who bored the members of the course?,student,practitioner,"The student who was yesterday in the class of the lazy practitioner bored the members of the course. Therefore, the members of the course were bored by the ",1
