Sentence,correct_answer,false_answer,animacy_state,
The banker that the barber praised climbed the mountain just outside of town before it snowed.,banker,barber,both_animate,
The banker that you praised climbed the mountain just outside of town before it snowed.,banker,you,both_animate,
The banker that Sue praised climbed the mountain just outside of town before it snowed.,banker,Sue,,
The banker that praised the barber climbed the mountain just outside of town before it snowed.,banker,barber,both_animate,
The banker that praised you climbed the mountain just outside of town before it snowed.,banker,you,both_animate,
The banker that praised Sue climbed the mountain just outside of town before it snowed.,banker,Sue,both_animate,
The dancer that the reporter phoned cooked the pork chops in their own juices on New Year's Eve.,dancer,reporter,both_animate,
The dancer that you phoned cooked the pork chops in their own juices on New Year's Eve.,dancer,you,both_animate,
The dancer that Ann phoned cooked the pork chops in their own juices on New Year's Eve.,dancer,Ann,both_animate,
The dancer that phoned the reporter cooked the pork chops in their own juices on New Year's Eve.,dancer,reporter,both_animate,
The dancer that phoned you cooked the pork chops in their own juices on New Year's Eve.,dancer,you,both_animate,
The dancer that phoned Ann cooked the pork chops in their own juices on New Year's Eve.,dancer,Ann,both_animate,
The architect that the officer liked dominated the conversation while the game was on television.,architect,officer,both_animate,
The architect that you liked dominated the conversation while the game was on television.,architect,you,both_animate,
The architect that Wes liked dominated the conversation while the game was on television.,architect,Wes,both_animate,
The architect that liked the officer dominated the conversation while the game was on television.,architect,officer,both_animate,
The architect that liked you dominated the conversation while the game was on television.,architect,you,both_animate,
The architect that liked Wes dominated the conversation while the game was on television.,architect,Wes,both_animate,
The waiter that the broker despised drove the sports car home from work that evening.,waiter,broker,both_animate,
The waiter that you despised drove the sports car home from work that evening.,waiter,you,both_animate,
The waiter that Jan despised drove the sports car home from work that evening.,waiter,Jan,both_animate,
The waiter that despised the broker drove the sports car home from work that evening.,waiter,broker,both_animate,
The waiter that despised you drove the sports car home from work that evening.,waiter,you,both_animate,
The waiter that despised Jan drove the sports car home from work that evening.,waiter,Jan,both_animate,
The detective that the secretary disliked clipped the coupons out with the dull scissors.,detective,secretary,both_animate,
The detective that you disliked clipped the coupons out with the dull scissors.,detective,you,both_animate,
The detective that Ted disliked clipped the coupons out with the dull scissors.,detective,Ted,both_animate,
The detective that disliked the secretary clipped the coupons out with the dull scissors.,detective,secretary,both_animate,
The detective that disliked you clipped the coupons out with the dull scissors.,detective,you,both_animate,
The detective that disliked Ted clipped the coupons out with the dull scissors.,detective,Ted,both_animate,
The judge that the doctor ignored watched the special about Colombian drug dealers on the nightly news.,judge,doctor,both_animate,
The judge that you ignored watched the special about Colombian drug dealers on the nightly news.,judge,you,both_animate,
The judge that Tom ignored watched the special about Colombian drug dealers on the nightly news.,judge,Tom,both_animate,
The judge that ignored the doctor watched the special about Colombian drug dealers on the nightly news.,judge,doctor,both_animate,
The judge that ignored you watched the special about Colombian drug dealers on the nightly news.,judge,you,both_animate,
The judge that ignored Tom watched the special about Colombian drug dealers on the nightly news.,judge,Tom,both_animate,
The robber that the man insulted read the newspaper article about the fire.,robber,man,both_animate,
The robber that you insulted read the newspaper article about the fire.,robber,you,both_animate,
The robber that Sam insulted read the newspaper article about the fire.,robber,Sam,both_animate,
The robber that insulted the man read the newspaper article about the fire.,robber,man,both_animate,
The robber that insulted you read the newspaper article about the fire.,robber,you,both_animate,
The robber that insulted Sam read the newspaper article about the fire.,robber,Sam,both_animate,
The governor that the comedian admired answered the telephone in the fancy restaurant.,governor,comedian,both_animate,
The governor that you admired answered the telephone in the fancy restaurant.,governor,you,both_animate,
The governor that Kay admired answered the telephone in the fancy restaurant.,governor,Kay,both_animate,
The governor that admired the comedian answered the telephone in the fancy restaurant.,governor,comedian,both_animate,
The governor that admired you answered the telephone in the fancy restaurant.,governor,you,both_animate,
The governor that admired Kay answered the telephone in the fancy restaurant.,governor,Kay,both_animate,
The actor that the director thanked worked in many hit movies before 1990.,actor,director,both_animate,
The actor that you thanked worked in many hit movies before 1990.,actor,you,both_animate,
The actor that Fay thanked worked in many hit movies before 1990.,actor,Fay,both_animate,
The actor that thanked the director worked in many hit movies before 1990.,actor,director,both_animate,
The actor that thanked you worked in many hit movies before 1990.,actor,you,both_animate,
The actor that thanked Fay worked in many hit movies before 1990.,actor,Fay,both_animate,
The poet that the painter inspired wrote an autobiography after their friendship became well known.,poet,painter,both_animate,
The poet that you inspired wrote an autobiography after their friendship became well known.,poet,you,both_animate,
The poet that Ben inspired wrote an autobiography after their friendship became well known.,poet,Ben,both_animate,
The poet that inspired the painter wrote an autobiography after their friendship became well known.,poet,painter,both_animate,
The poet that inspired you wrote an autobiography after their friendship became well known.,poet,you,both_animate,
The poet that inspired Ben wrote an autobiography after their friendship became well known.,poet,Ben,both_animate,
