Sentence,question,correct_answer,false_answer,pythia_question,bert_question
The banker that the barber praised climbed the mountain just outside of town before it snowed.,,,,,
The banker that you praised climbed the mountain just outside of town before it snowed.,,,,,
The banker that Sue praised climbed the mountain just outside of town before it snowed.,,,,,
The banker that praised the barber climbed the mountain just outside of town before it snowed.,,,,,
The banker that praised you climbed the mountain just outside of town before it snowed.,,,,,
The banker that praised Sue climbed the mountain just outside of town before it snowed.,,,,,
The dancer that the reporter phoned cooked the pork chops in their own juices on New Year's Eve.,,,,,
The dancer that you phoned cooked the pork chops in their own juices on New Year's Eve.,,,,,
The dancer that Ann phoned cooked the pork chops in their own juices on New Year's Eve.,,,,,
The dancer that phoned the reporter cooked the pork chops in their own juices on New Year's Eve.,,,,,
The dancer that phoned you cooked the pork chops in their own juices on New Year's Eve.,,,,,
The dancer that phoned Ann cooked the pork chops in their own juices on New Year's Eve.,,,,,
The architect that the fireman liked dominated the conversation while the game was on television.,,,,,
The architect that you liked dominated the conversation while the game was on television.,,,,,
The architect that Wes liked dominated the conversation while the game was on television.,,,,,
The architect that liked the fireman dominated the conversation while the game was on television.,,,,,
The architect that liked you dominated the conversation while the game was on television.,,,,,
The architect that liked Wes dominated the conversation while the game was on television.,,,,,
The waiter that the broker despised drove the sports car home from work that evening.,,,,,
The waiter that you despised drove the sports car home from work that evening.,,,,,
The waiter that Jan despised drove the sports car home from work that evening.,,,,,
The waiter that despised the broker drove the sports car home from work that evening.,,,,,
The waiter that despised you drove the sports car home from work that evening.,,,,,
The waiter that despised Jan drove the sports car home from work that evening.,,,,,
The detective that the secretary disliked clipped the coupons out with the dull scissors.,,,,,
The detective that you disliked clipped the coupons out with the dull scissors.,,,,,
The detective that Ted disliked clipped the coupons out with the dull scissors.,,,,,
The detective that disliked the secretary clipped the coupons out with the dull scissors.,,,,,
The detective that disliked you clipped the coupons out with the dull scissors.,,,,,
The detective that disliked Ted clipped the coupons out with the dull scissors.,,,,,
The judge that the doctor ignored watched the special about Colombian drug dealers on the nightly news.,,,,,
The judge that you ignored watched the special about Colombian drug dealers on the nightly news.,,,,,
The judge that Tom ignored watched the special about Colombian drug dealers on the nightly news.,,,,,
The judge that ignored the doctor watched the special about Colombian drug dealers on the nightly news.,,,,,
The judge that ignored you watched the special about Colombian drug dealers on the nightly news.,,,,,
The judge that ignored Tom watched the special about Colombian drug dealers on the nightly news.,,,,,
The robber that the mailman insulted read the newspaper article about the fire.,,,,,
The robber that you insulted read the newspaper article about the fire.,,,,,
The robber that Sam insulted read the newspaper article about the fire.,,,,,
The robber that insulted the mailman read the newspaper article about the fire.,,,,,
The robber that insulted you read the newspaper article about the fire.,,,,,
The robber that insulted Sam read the newspaper article about the fire.,,,,,
The governor that the comedian admired answered the telephone in the fancy restaurant.,,,,,
The governor that you admired answered the telephone in the fancy restaurant.,,,,,
The governor that Kay admired answered the telephone in the fancy restaurant.,,,,,
The governor that admired the comedian answered the telephone in the fancy restaurant.,,,,,
The governor that admired you answered the telephone in the fancy restaurant.,,,,,
The governor that admired Kay answered the telephone in the fancy restaurant.,,,,,
The actor that the director thanked worked in many hit movies before 1990.,,,,,
The actor that you thanked worked in many hit movies before 1990.,,,,,
The actor that Fay thanked worked in many hit movies before 1990.,,,,,
The actor that thanked the director worked in many hit movies before 1990.,,,,,
The actor that thanked you worked in many hit movies before 1990.,,,,,
The actor that thanked Fay worked in many hit movies before 1990.,,,,,
The poet that the painter inspired wrote an autobiography after their friendship became well known.,,,,,
The poet that you inspired wrote an autobiography after their friendship became well known.,,,,,
The poet that Ben inspired wrote an autobiography after their friendship became well known.,,,,,
The poet that inspired the painter wrote an autobiography after their friendship became well known.,,,,,
The poet that inspired you wrote an autobiography after their friendship became well known.,,,,,
The poet that inspired Ben wrote an autobiography after their friendship became well known.,,,,,
The chef that the cashier distrusted called for help after the restaurant closed.,,,,,
The chef that you distrusted called for help after the restaurant closed.,,,,,
The chef that Joe distrusted called for help after the restaurant closed.,,,,,
The chef that distrusted the cashier called for help after the restaurant closed.,,,,,
The chef that distrusted you called for help after the restaurant closed.,,,,,
The chef that distrusted Joe called for help after the restaurant closed.,,,,,
The aunt that the child amused made paper dolls out of the newspaper.,,,,,
The aunt that you amused made paper dolls out of the newspaper.,,,,,
The aunt that Kim amused made paper dolls out of the newspaper.,,,,,
The aunt that amused the child made paper dolls out of the newspaper.,,,,,
The aunt that amused you made paper dolls out of the newspaper.,,,,,
The aunt that amused Kim made paper dolls out of the newspaper.,,,,,
The violinist that the conductor complimented performed at Carnegie Hall for two weeks.,,,,,
The violinist that you complimented performed at Carnegie Hall for two weeks.,,,,,
The violinist that Max complimented performed at Carnegie Hall for two weeks.,,,,,
The violinist that complimented the conductor performed at Carnegie Hall for two weeks.,,,,,
The violinist that complimented you performed at Carnegie Hall for two weeks.,,,,,
The violinist that complimented Max performed at Carnegie Hall for two weeks.,,,,,
The teacher that the student questioned wrote a long science fiction novel during the summer vacation.,,,,,
The teacher that you questioned wrote a long science fiction novel during the summer vacation.,,,,,
The teacher that Bob questioned wrote a long science fiction novel during the summer vacation.,,,,,
The teacher that questioned the student wrote a long science fiction novel during the summer vacation.,,,,,
The teacher that questioned you wrote a long science fiction novel during the summer vacation.,,,,,
The teacher that questioned Bob wrote a long science fiction novel during the summer vacation.,,,,,
The editor that the author recommended changed jobs after a new merger was announced.,,,,,
The editor that you recommended changed jobs after a new merger was announced.,,,,,
The editor that Jen recommended changed jobs after a new merger was announced.,,,,,
The editor that recommended the author changed jobs after a new merger was announced.,,,,,
The editor that recommended you changed jobs after a new merger was announced.,,,,,
The editor that recommended Jen changed jobs after a new merger was announced.,,,,,
The tailor that the customer described worked in a small building near the bus station.,,,,,
The tailor that you described worked in a small building near the bus station.,,,,,
The tailor that Pam described worked in a small building near the bus station.,,,,,
The tailor that described the customer worked in a small building near the bus station.,,,,,
The tailor that described you worked in a small building near the bus station.,,,,,
